question_id,question,model,Reference Query,Generated Query,Extracted SPARQL,BLEU Score,macro_f1,Syntax Valid,is_execution_valid
2174,What non fiction subjects are covered in books by Doubleday publishers?,Qwen/Qwen2.5-0.5B-Instruct,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Doubleday_(publisher)> . ?x <http://dbpedia.org/ontology/nonFictionSubject> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>},"Generate a SPARQL query for the input question for the DBpedia Knowledge Graph. Ensure that the query uses proper SPARQL syntax, includes prefixes, and retrieves unique results. Step-by-step: Identify relevant properties and structure the query accordingly.
Output only the SPARQL query
Question: What non fiction subjects are covered in books by Doubleday publishers?
To retrieve information about non-fiction subjects that are featured in books published by Doubleday, you can use the following SPARQL query:

```sparql
SELECT ?subject
WHERE {
  ?book a douleand:binder ;
           douleand:publisher ""Doubleday"" .
  FILTER(?book ! ?subject)
}
```

This query does the following:
1. It selects all `book` objects (which represent books) from the `douleand:binder` property.
2. It filters out any book where the publisher is not ""Doubleday"".
3. For each filtered book, it checks if the subject is not present using an IF-ELSE statement. If the subject is not found, the query will return true; otherwise, false.

The result of this query would be a list of non-fiction subjects that appear as the first element in a book's `subject` attribute. This means that if there are multiple books by a publisher that cover the same set of subjects, they will all have this list of subjects listed at the top. 

Please note that this assumes that the subject field in the database is named `subject`. The actual name may vary depending on your specific schema or database implementation. Also, the query might need to be adjusted based on the exact naming convention used by the DBpedia Knowledge Graph. 

Also, please ensure that you have the necessary permissions to execute such queries on the DBpedia Knowledge Graph. If you don't have permission, you should contact your system administrator or database administrator. Always check the terms of service and privacy policies of the DBpedia Knowledge Graph before querying its data. 

If you want more precise filtering, you could modify the query to include additional criteria like the publication date or the type of publication. However, since the provided query already gives you the desired output, I'll stick with the basic one. Please let me know if you'd like to explore more advanced features or adjust the query","SELECT ?subject
WHERE {
  ?book a douleand:binder ;
           douleand:publisher ""Doubleday"" .
  FILTER(?book ! ?subject)
}",1.1141478966560594e-155,0.01652892561983471,False,False
2312,What country provides a citizenship to Newin Chidchob and Seni Pramoj?,Qwen/Qwen2.5-0.5B-Instruct,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Newin_Chidchob> <http://dbpedia.org/property/nationality> ?uri. <http://dbpedia.org/resource/Seni_Pramoj> <http://dbpedia.org/ontology/nationality> ?uri},"Generate a SPARQL query for the input question for the DBpedia Knowledge Graph. Ensure that the query uses proper SPARQL syntax, includes prefixes, and retrieves unique results. Step-by-step: Identify relevant properties and structure the query accordingly.
Output only the SPARQL query
Question: What country provides a citizenship to Newin Chidchob and Seni Pramoj?
Here are some potential properties:
- nationality
- citizenship

To retrieve unique results:

The SPARQL query is as follows:

```sparql
SELECT ?country 
WHERE {
  ?person a <http://dbpedia.org/ontology/Country> .
  ?person <http://dbpedia.org/resource/Newin_Chidchob> a <http://dbpedia.org/property/Citizenship>.
  ?person <http://dbpedia.org/resource/Seni_Pramojo> a <http://dbpedia.org/property/Citizen>.
  FILTER(?person != ?country)
}
GROUP BY ?country
``` 

This query will return all countries where either Newin Chidchob or Seni Pramoj has citizenship. The `?country` variable represents any of the countries provided in the input question. It filters out any country that does not match this criterion by ensuring each country appears at most once. The `FILTER` clause allows us to exclude countries where both Newin Chidchob and Seni Pramoj have citizenship. This ensures we get only those countries with a single citizenship record, which corresponds to the person named Newin Chidchob. Finally, the GROUP BY clause groups these results by country, resulting in a unique set of countries meeting the criteria specified in the question. Note that this query assumes there's no ambiguity regarding which of the two people (Newin Chidchob or Seni Pramoj) holds citizenship. If there could be multiple citizens for either person, additional filtering would be needed to ensure that only one citizenship is returned per country. However, based on the information given, it seems likely that both Newin Chidchob and Seni Pramoj hold citizenship. To make the query more robust, you might want to add conditions to handle cases where there might be ties between individuals. But without additional context about how ties between Newin Chidchob and Seni Pramoj should","SELECT ?country 
WHERE {
  ?person a <http://dbpedia.org/ontology/Country> .
  ?person <http://dbpedia.org/resource/Newin_Chidchob> a <http://dbpedia.org/property/Citizenship>.
  ?person <http://dbpedia.org/resource/Seni_Pramojo> a <http://dbpedia.org/property/Citizen>.
  FILTER(?person != ?country)
}
GROUP BY ?country",1.2108996690827919e-155,0.019801980198019802,False,False
1193,What are the home stadiums of the things Leonid Fedun has been the chairman of?,Qwen/Qwen2.5-0.5B-Instruct,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/chairman> <http://dbpedia.org/resource/Leonid_Fedun> . ?x <http://dbpedia.org/ontology/homeStadium> ?uri  . },"Generate a SPARQL query for the input question for the DBpedia Knowledge Graph. Ensure that the query uses proper SPARQL syntax, includes prefixes, and retrieves unique results. Step-by-step: Identify relevant properties and structure the query accordingly.
Output only the SPARQL query
Question: What are the home stadiums of the things Leonid Fedun has been the chairman of?
To answer this question, we need to identify the relevant properties and then construct the SPARQL query accordingly.

1. **Identify Relevant Properties**:
   - The property we need is ""homeStadium"" which represents the stadium where the chairman's office was located when he was in charge.

2. **Structure the Query**:
   - We'll use the `WHERE` clause to filter objects based on their property values.
   - We'll join with other properties (e.g., `person`) if necessary.
   - We'll use the `SELECT` statement to retrieve the result.

Here’s the SPARQL query:

```sparql
PREFIX person: <http://www.w3.org/ns/person#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
SELECT ?stadium
WHERE {
  ?s dbpedia-owl:member <http://www.w3.org/ns/person#chairman>.
  ?s dbpedia-owl:hasHomeStadium ?stadium .
}
```

### Explanation:
- **Prefixes**: We're using `prefix person:` to refer to the Person property and `prefix dbpedia-owl:` to reference the DBpedia OWL namespace.
- **Query Structure**:
  - The `WHERE` clause filters the objects by checking if they have the `member` property for the `chairman` role.
  - It then checks if the object also has the `hasHomeStadium` property, indicating the presence of its home stadium.
  
This query should return all objects where Leonid Fedun has been the chairman of an organization, along with the name of the home stadium of each such organization. 

Please note that the exact schema might vary slightly depending on the specific database being queried against, so you may need to adjust the prefix and query structure according to your actual dataset or ontology. If you provide more details about the database or the exact format of your data, I can give a more","PREFIX person: <http://www.w3.org/ns/person#>
PREFIX dbpedia-owl: <http://dbpedia.org/ontology/>
SELECT ?stadium
WHERE {
  ?s dbpedia-owl:member <http://www.w3.org/ns/person#chairman>.
  ?s dbpedia-owl:hasHomeStadium ?stadium .
}",1.5077945610794918e-155,0.024271844660194174,True,True
4765,What are some cars related to the ones with a V8?,Qwen/Qwen2.5-0.5B-Instruct,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/engine> <http://dbpedia.org/resource/V8_engine> . ?x <http://dbpedia.org/property/related> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Automobile>},"Generate a SPARQL query for the input question for the DBpedia Knowledge Graph. Ensure that the query uses proper SPARQL syntax, includes prefixes, and retrieves unique results. Step-by-step: Identify relevant properties and structure the query accordingly.
Output only the SPARQL query
Question: What are some cars related to the ones with a V8?
To retrieve information about vehicles (cars) that have a specific engine type (V8), we need to use the `Vehicle` property in combination with the `engineType` property. The `Vehicle` property should be queried against the ""car"" namespace, while the `engineType` property should be queried against the ""vehicleEngineType"" namespace.

Given this setup, the SPARQL query would look like:

```sparql
SELECT ?vehicle ?engineType WHERE {
  ?vehicle <http://dbpedia.org/ontology/Vehicle> ?type .
  FILTER (strstarts(?, 'V8')) .
  ?vehicle <http://dbpedia.org/ontology/engineType> ?engineType .
}
```

This query ensures it matches all vehicles where the engine type is ""V8"", which helps us identify the cars related to those vehicles. Adjust the `?vehicle` and `?engineType` labels as necessary if there are more specific types of engines or additional constraints you want to include. Remember to replace `""http://dbpedia.org/ontology/Vehicle""` and `""http://dbpedia.org/ontology/engineType""` with actual URIs if they differ from your database schema. 

Please note that the exact URI format might vary depending on how your database system stores these properties. For instance, some systems might store them using RDFa or similar notation instead of directly referencing an XML file. However, for the purpose of querying, the URI format remains the same. If the system supports such notation, then the query will work correctly without any issues. 

Also, please ensure that the namespaces used (`<http://dbpedia.org/ontology/Vehicle>` and `<http://dbpedia.org/ontology/engineType>`) match the actual namespace structures defined in your DBpedia knowledge graph. If not, adjust the URI references accordingly. 

Lastly, always validate the query by running it through a SPARQL editor or service that supports SPARQL queries to verify its correctness","SELECT ?vehicle ?engineType WHERE {
  ?vehicle <http://dbpedia.org/ontology/Vehicle> ?type .
  FILTER (strstarts(?, 'V8')) .
  ?vehicle <http://dbpedia.org/ontology/engineType> ?engineType .
}",1.2782663637143595e-155,0.01818181818181818,False,False
1165,What is the television show whose opening theme is Te Deum (Charpentier)?,Qwen/Qwen2.5-0.5B-Instruct,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/openingTheme> <http://dbpedia.org/resource/Te_Deum_(Charpentier)>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},"Generate a SPARQL query for the input question for the DBpedia Knowledge Graph. Ensure that the query uses proper SPARQL syntax, includes prefixes, and retrieves unique results. Step-by-step: Identify relevant properties and structure the query accordingly.
Output only the SPARQL query
Question: What is the television show whose opening theme is Te Deum (Charpentier)?
To retrieve information about the television show with an opening theme of ""Te Deum"" from the DBpedia Knowledge Graph, we need to identify the property related to themes in TV shows and then construct a query using these properties.

The appropriate SPARQL query would be:

```sparql
SELECT ?showTitle
WHERE {
  <show> <http://dbpedia.org/property/thematicOpeningTheme> ?theme .
  ?theme <http://dbpedia.org/property/openingTheme> ?theme .
  FILTER(?theme = ""Te Deum"")
}
```

This query does the following:
1. Selects the `show` term which represents the TV show.
2. Checks if the thematic opening theme (`<http://dbpedia.org/property/thematicOpeningTheme>`) matches the desired theme (""Te Deum"").
3. Filters the results to include only those where the theme is exactly ""Te Deum"".

Please note that this query assumes that there are no other specific requirements or constraints on the TV show such as its genre, release year, etc., that might influence the theme. If such additional details are present, they should also be included in the WHERE clause. 

Also, ensure that you replace `<show>` with the actual URI representing your TV show. Also, adjust the prefix and URI according to your database schema. For example, if you're working with a RDF graph hosted by a service like Neo4j, you can use the correct URI format. If you're not sure about the URI format, you may want to consult the documentation of the RDF graph service or ask for clarification. 

Lastly, keep in mind that this query will return all TV shows whose thematic opening theme is ""Te Deum"". You might want to refine it further depending on your needs. For instance, you could filter by other properties like genre, director, or producer. The above query alone cannot provide this level of detail. To get more precise information, consider adding more","SELECT ?showTitle
WHERE {
  <show> <http://dbpedia.org/property/thematicOpeningTheme> ?theme .
  ?theme <http://dbpedia.org/property/openingTheme> ?theme .
  FILTER(?theme = ""Te Deum"")
}",5.583659262012421e-232,0.013452914798206279,True,True
2984,Which organizations have Jimmy Wales on board?,Qwen/Qwen2.5-0.5B-Instruct,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jimmy_Wales> <http://dbpedia.org/ontology/board> ?uri },"Generate a SPARQL query for the input question for the DBpedia Knowledge Graph. Ensure that the query uses proper SPARQL syntax, includes prefixes, and retrieves unique results. Step-by-step: Identify relevant properties and structure the query accordingly.
Output only the SPARQL query
Question: Which organizations have Jimmy Wales on board?
To answer this question about the DBpedia Knowledge Graph, we need to identify the relevant properties and then construct a SPARQL query that will retrieve all entities (organizations) where the key ""jimmy wales"" is present in their properties.

### Step 1: Identify Relevant Properties
The key property here is `jimmy_wales`, which represents the fact that Jimmy Wales has been on board with an organization.

### Step 2: Structure the Query
We'll use the following structure:
```sparql
SELECT ?organization WHERE {
    <http://dbpedia.org/ontology/Organization> ?organization .
    FILTER (?organization = <http://www.example.com/jimmy-wales>)
}
```
Here’s how each part works:

- `<http://dbpedia.org/ontology/Organization>`: This specifies the type of entity (an Organization).
- `?organization`: The subject of the query.
- `FILTER (?organization = <http://www.example.com/jimmy-wales>)`: This condition filters out any instances where the value of `?organization` does not match the given string (`<http://www.example.com/jimmy-wales>`).

This query ensures that it returns all organizations where the property `jimmy_wales` exists.

### Output Only SPARQL Query
```sparql
SELECT ?organization WHERE {
    <http://dbpedia.org/ontology/Organization> ?organization .
    FILTER (?organization = <http://www.example.com/jimmy-wales>)
}
```

This query should return all organizations where the key `""jimmy_wales""` appears as a value. If there are no such organizations, the result would be empty or none. Adjustments might be needed based on actual data sources and structures used by the DBpedia Knowledge Graph. 

For example, if you're using a different database like Neo4j or another RDF graph format, the exact query structure may differ slightly but the general idea","SELECT ?organization WHERE {
    <http://dbpedia.org/ontology/Organization> ?organization .
    FILTER (?organization = <http://www.example.com/jimmy-wales>)
}

SELECT ?organization WHERE {
    <http://dbpedia.org/ontology/Organization> ?organization .
    FILTER (?organization = <http://www.example.com/jimmy-wales>)
}",1.2506806005988471e-155,0.020512820512820513,False,False
1267,What currencies have been prevalent in the country whose national anthem is La Marseillaise?,Qwen/Qwen2.5-0.5B-Instruct,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/anthem> <http://dbpedia.org/resource/La_Marseillaise> . ?x <http://dbpedia.org/ontology/currency> ?uri  . },"Generate a SPARQL query for the input question for the DBpedia Knowledge Graph. Ensure that the query uses proper SPARQL syntax, includes prefixes, and retrieves unique results. Step-by-step: Identify relevant properties and structure the query accordingly.
Output only the SPARQL query
Question: What currencies have been prevalent in the country whose national anthem is La Marseillaise?
To solve this problem, we need to identify the relevant properties and then construct a SPARQL query to retrieve the desired information.

1. **Identify Relevant Properties**: 
   - The key property here is ""national anthem"".
   - We also need to consider the currency as it could be an important aspect of a country's economy or financial stability.

2. **Structure the Query**:
   - We will start with a subject (the country) and then proceed to its national anthem.
   - After finding the national anthem, we will look for any currency associated with it.

3. **Constructing the Query**:

```sparql
PREFIX ex: <http://example.org/>
PREFIX dbp: <http://dbpedia.org/>

SELECT ?country ?national_anthem ?currency
WHERE {
  ?country ex:national_anthem ?national_anthem .
  ?national_anthem ex:has_currency ?currency .
}
```

### Explanation:
- `ex: nationality` refers to the country where the national anthem is performed.
- `ex: has_currency` checks if there is a currency associated with the national anthem.
- The `?country` clause specifies that we are looking at countries, and the `?national_anthem` clause selects the national anthem.
- The `?currency` clause ensures that the currency is retrieved from the result set.

This query should return all countries whose national anthem is La Marseillaise and whether they also have a currency. If no such country exists, the result would be empty. 

Please replace `<http://example.org/>` and `<http://dbpedia.org/>` with actual RDF namespaces if you use them in your database schema. Additionally, ensure that your RDF graph contains appropriate triples that support these queries.","PREFIX ex: <http://example.org/>
PREFIX dbp: <http://dbpedia.org/>

SELECT ?country ?national_anthem ?currency
WHERE {
  ?country ex:national_anthem ?national_anthem .
  ?national_anthem ex:has_currency ?currency .
}",1.6178013393297473e-155,0.025380710659898477,True,True
3433,"What team did the players start their careers with, who right now play for Fleisher Yarn?",Qwen/Qwen2.5-0.5B-Instruct,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Fleisher_Yarn> . ?x <http://dbpedia.org/property/debutteam> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Athlete>},"Generate a SPARQL query for the input question for the DBpedia Knowledge Graph. Ensure that the query uses proper SPARQL syntax, includes prefixes, and retrieves unique results. Step-by-step: Identify relevant properties and structure the query accordingly.
Output only the SPARQL query
Question: What team did the players start their careers with, who right now play for Fleisher Yarn?
To retrieve information about teams and players from the DBpedia Knowledge Graph, we need to identify the appropriate properties and then construct an SPARQL query. Here's how you can do it:

### Step 1: Identify Relevant Properties

The given question is asking about two distinct entities:
- **Teams** (teams that have players)
- **Players** (players on those teams)

From this, we can infer that there are likely two types of relationships between these entities: one involving teams and players, and another involving player career paths.

### Step 2: Structure the Query

Given the nature of the questions, we should focus on querying both teams and players. We'll use a combination of `?team` and `?player` as predicates to match the required entities.

#### Example SPARQL Query:
```sparql
PREFIX dbpedia: <http://dbpedia.org/>

SELECT ?team ?player
WHERE {
  ?player dbp:startedCareerWith ?team .
  FILTER NOT EXISTS { ?player dbp:caredFor ?league }
  FILTER NOT EXISTS { ?league dbp:hasPlayer ?player }
}
ORDER BY ?team
```

### Explanation:
- `dbp:startedCareerWith`: This predicate checks if a player started their career with a specific team.
- `FILTER NOT EXISTS { ... }`: Ensures that no other team exists where a player has already been.
- `FILTER NOT EXISTS { ... }`: Ensures that no other league exists where a player has already played.
- `ORDER BY ?team`: Orders the results by team in ascending order.

This query will return all teams along with the players who started their careers at those teams, including any players currently playing for those teams.

### Note:
- The exact format might vary slightly depending on the specific database or schema being queried. If the question pertains to a different entity type or additional criteria, please provide more details so I can adjust the query","PREFIX dbpedia: <http://dbpedia.org/>

SELECT ?team ?player
WHERE {
  ?player dbp:startedCareerWith ?team .
  FILTER NOT EXISTS { ?player dbp:caredFor ?league }
  FILTER NOT EXISTS { ?league dbp:hasPlayer ?player }
}
ORDER BY ?team",1.1300197808305337e-155,0.017241379310344827,False,False
3143,Does Cohoes a junction on the NY State Route 470?,Qwen/Qwen2.5-0.5B-Instruct,"ASK WHERE { <http://dbpedia.org/resource/New_York_State_Route_470> <http://dbpedia.org/ontology/routeJunction> <http://dbpedia.org/resource/Cohoes,_New_York> }","Generate a SPARQL query for the input question for the DBpedia Knowledge Graph. Ensure that the query uses proper SPARQL syntax, includes prefixes, and retrieves unique results. Step-by-step: Identify relevant properties and structure the query accordingly.
Output only the SPARQL query
Question: Does Cohoes a junction on the NY State Route 470?
Here's the chain of thought:
To answer this question, we need to identify the properties related to ""Cohoes"" and ""NY State Route 470"", and then use these properties to formulate a query. We also need to ensure that the result is unique.

Query: 
```sparql
SELECT ?junction ?route WHERE {
  ?j junction ?junction .
  ?j rdfs:label ""Cohoes"" .
  ?j rdfs:label ""NY State Route 470"" .
  ?junction rdfs:label ""Cohoes"" .
}
GROUP BY ?junction ?route
HAVING (?junction = ?route)
``` 

Explanation: The query selects all `junction` properties where the value of `rdfs:label` is either ""Cohoes"" or ""NY State Route 470"". It groups the results by `junction` and `route`. Finally, it filters the results to only include those where the `junction` property matches the `route` property. This ensures that the result is unique as it will not be duplicated due to multiple `junction` values matching the same `route`. The resulting triples are ordered in descending order by the `route`, so that the most specific match is returned first. Note that this query assumes that there is an RDF graph with the necessary relationships between nodes labeled ""Cohoes"" and ""NY State Route 470"". If this assumption is incorrect, you may need to adjust the query accordingly. ```","SELECT ?junction ?route WHERE {
  ?j junction ?junction .
  ?j rdfs:label ""Cohoes"" .
  ?j rdfs:label ""NY State Route 470"" .
  ?junction rdfs:label ""Cohoes"" .
}
GROUP BY ?junction ?route
HAVING (?junction = ?route)",1.2305777407929274e-155,0.018633540372670808,False,False
2204,Name the mountain whose parent peak is located in Mexico.,Qwen/Qwen2.5-0.5B-Instruct,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/State_of_Mexico> . ?uri <http://dbpedia.org/ontology/parentMountainPeak> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain>},"Generate a SPARQL query for the input question for the DBpedia Knowledge Graph. Ensure that the query uses proper SPARQL syntax, includes prefixes, and retrieves unique results. Step-by-step: Identify relevant properties and structure the query accordingly.
Output only the SPARQL query
Question: Name the mountain whose parent peak is located in Mexico.
To retrieve information about mountains from the DBpedia Knowledge Graph where the parent peak of the mountain is located in Mexico, we can use the following SPARQL query:

```sparql
SELECT ?name WHERE {
  ?mountain a mb:Mountain ;
         mb:parent ?peak .
  FILTER(?peak IN (http://dbpedia.org/resource/Mexico)) ;
  ?peak a mb:Peak ;
         mb:location http://www.w3.org/ns/geo#Location ;
         mb:country ""Mexico""^^<http://www.w3.org/2006/geolighting> .
}
```

This query does the following:
- `mb:Mountain` ensures that we're looking at mountain entities.
- `mb:parent` links the mountain to its parent peak.
- `?peak IN (http://dbpedia.org/resource/Mexico)` filters the peaks to those located in Mexico.
- The condition `?peak a mb:Peak` specifies that the peak must be an instance of a Peak entity.
- `mb:location` ensures that the location is in Mexico using the country code ""Mexico"" and the Geolocation RDF type.

The `FILTER` clause with the predicate `?peak IN (http://dbpedia.org/resource/Mexico)` helps ensure that only valid peaks are considered. If you want to include all peaks, you could remove this part of the filter. Also note that this query might not work directly due to the specific nature of the data and the fact that the location attribute isn't fully standardized yet. For more accurate results, consider adding additional conditions or using a different approach like querying specific types of peaks or mountain systems. 

Please replace `<http://www.w3.org/2006/geolighting>` with the actual URI for the GeoLighting schema if it's available. This query should provide the name of the mountain whose parent peak is located in Mexico. Adjustments may be needed based on the","SELECT ?name WHERE {
  ?mountain a mb:Mountain ;
         mb:parent ?peak .
  FILTER(?peak IN (http://dbpedia.org/resource/Mexico)) ;
  ?peak a mb:Peak ;
         mb:location http://www.w3.org/ns/geo#Location ;
         mb:country ""Mexico""^^<http://www.w3.org/2006/geolighting> .
}",1.2910493806810127e-155,0.02030456852791878,False,False
